fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1530,14,28,-1,-1,-1,-1,-1,-1,NA
1,1530,14,28,-1,-1,-1,-1,-1,-1,NA
2,1530,14,28,-1,-1,-1,-1,-1,-1,NA
3,1531,14,28,-1,-1,-1,-1,-1,-1,NA
4,1531,14,28,-1,-1,-1,-1,-1,-1,NA
0,1530,14,28,-1,-1,-1,-1,-1,-1,NA
1,1530,14,28,-1,-1,-1,-1,-1,-1,NA
2,1530,14,28,-1,-1,-1,-1,-1,-1,NA
3,1531,14,28,-1,-1,-1,-1,-1,-1,NA
4,1531,14,28,-1,-1,-1,-1,-1,-1,NA
0,1530,14,28,-1,-1,-1,-1,-1,-1,NA
1,1530,14,28,-1,-1,-1,-1,-1,-1,NA
2,1530,14,28,-1,-1,-1,-1,-1,-1,NA
3,1531,14,28,-1,-1,-1,-1,-1,-1,NA
4,1531,14,28,-1,-1,-1,-1,-1,-1,NA
0,1530,14,28,-1,-1,-1,-1,-1,-1,NA
1,1530,14,28,-1,-1,-1,-1,-1,-1,NA
2,1530,14,28,0.06679794983938336,2,2,3,64.37908496732027,65.53524804177546,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,1531,14,28,0.07451758766546845,2,2,3,64.07576747224036,66.75392670157068,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,1531,14,28,-1,-1,-1,-1,-1,-1,NA
0,1530,14,28,0.20118706626817584,3,3,5,68.62745098039215,69.71279373368147,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
1,1530,14,28,0.2099247039295733,3,3,5,69.47712418300654,66.31853785900783,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,1530,14,28,0.19919465901330113,3,3,5,68.82352941176471,68.9295039164491,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,1531,14,28,0.35419748816639185,3,3,5,68.06009144350098,71.98952879581152,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,1531,14,28,0.25645898608490825,3,3,5,69.23579359895493,67.27748691099477,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,1530,14,28,9.403409854974598,3,3,5,68.62745098039215,69.71279373368147,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
1,1530,14,28,4.131453562062234,3,3,5,69.47712418300654,66.31853785900783,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,1530,14,28,4.500921073835343,3,3,5,68.82352941176471,68.9295039164491,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,1531,14,28,58.54649516195059,4,4,7,69.62769431743958,70.94240837696336,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
4,1531,14,28,7.757227685768157,3,3,5,69.23579359895493,67.27748691099477,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,1530,14,28,301.5360634000972,4,4,7,69.54248366013071,71.27937336814621,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
1,1530,14,28,301.2498446982354,3,3,5,69.47712418300654,66.31853785900783,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,1530,14,28,300.8849045368843,4,4,7,70.06535947712418,69.19060052219321,[ $Bar2  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
3,1531,14,28,-1,-1,-1,-1,-1,-1,NA
4,1531,14,28,301.7429808503948,4,4,7,70.15022860875246,68.84816753926701,[ $Bar2  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
